LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
FRA,LTINT,TOT,PC_PA,Q,2010-Q4,3.019233,
FRA,LTINT,TOT,PC_PA,Q,2011-Q1,3.551933,
FRA,LTINT,TOT,PC_PA,Q,2011-Q2,3.536567,
FRA,LTINT,TOT,PC_PA,Q,2011-Q3,3.009433,
FRA,LTINT,TOT,PC_PA,Q,2011-Q4,3.1863,
FRA,LTINT,TOT,PC_PA,Q,2012-Q1,3.0499,
FRA,LTINT,TOT,PC_PA,Q,2012-Q2,2.771567,
FRA,LTINT,TOT,PC_PA,Q,2012-Q3,2.2106,
FRA,LTINT,TOT,PC_PA,Q,2012-Q4,2.1119,
FRA,LTINT,TOT,PC_PA,Q,2013-Q1,2.160267,
FRA,LTINT,TOT,PC_PA,Q,2013-Q2,1.9621,
FRA,LTINT,TOT,PC_PA,Q,2013-Q3,2.365,
FRA,LTINT,TOT,PC_PA,Q,2013-Q4,2.330033,
FRA,LTINT,TOT,PC_PA,Q,2014-Q1,2.2629,
FRA,LTINT,TOT,PC_PA,Q,2014-Q2,1.858667,
FRA,LTINT,TOT,PC_PA,Q,2014-Q3,1.438733,
FRA,LTINT,TOT,PC_PA,Q,2014-Q4,1.105467,
FRA,LTINT,TOT,PC_PA,Q,2015-Q1,0.5934,
FRA,LTINT,TOT,PC_PA,Q,2015-Q2,0.8397667,
FRA,LTINT,TOT,PC_PA,Q,2015-Q3,1.0411,
FRA,LTINT,TOT,PC_PA,Q,2015-Q4,0.8931667,
FRA,LTINT,TOT,PC_PA,Q,2016-Q1,0.6481333,
FRA,LTINT,TOT,PC_PA,Q,2016-Q2,0.4712333,
FRA,LTINT,TOT,PC_PA,Q,2016-Q3,0.1695,
FRA,LTINT,TOT,PC_PA,Q,2016-Q4,0.5826667,
FRA,LTINT,TOT,PC_PA,Q,2017-Q1,0.9718,
FRA,LTINT,TOT,PC_PA,Q,2017-Q2,0.7844667,
FRA,LTINT,TOT,PC_PA,Q,2017-Q3,0.7485333,
FRA,LTINT,TOT,PC_PA,Q,2017-Q4,0.7346333,
FRA,LTINT,TOT,PC_PA,Q,2018-Q1,0.892,
FRA,LTINT,TOT,PC_PA,Q,2018-Q2,0.7711333,
FRA,LTINT,TOT,PC_PA,Q,2018-Q3,0.7118667,
FRA,LTINT,TOT,PC_PA,Q,2018-Q4,0.7614334,
FRA,LTINT,TOT,PC_PA,Q,2019-Q1,0.5441333,
FRA,LTINT,TOT,PC_PA,Q,2019-Q2,0.2518,
FRA,LTINT,TOT,PC_PA,Q,2019-Q3,-0.2279333,
FRA,LTINT,TOT,PC_PA,Q,2019-Q4,-0.0472,
FRA,LTINT,TOT,PC_PA,Q,2020-Q1,-0.08086666,
FRA,LTINT,TOT,PC_PA,Q,2020-Q2,-0.005433333,
FRA,LTINT,TOT,PC_PA,Q,2020-Q3,-0.1754333,
FRA,LTINT,TOT,PC_PA,Q,2020-Q4,-0.3193333,
